Designator,Mid X,Mid Y,Layer,Rotation
C1,19.81, 1.52,Top,270.0
C2,22.86,23.37,Top,180.0
C3,12.70,23.37,Top,180.0
C4,18.03,23.37,Top,180.0
C5,-3.81,-13.72,Top,0.0
C6, 4.32,-11.68,Top,0.0
C7,15.24, 2.54,Top,180.0
C8,25.40, 2.54,Top,180.0
C9,-3.81,-11.68,Top,0.0
C10,28.19,23.37,Top,180.0
C11,21.08,-9.91,Top,270.0
C12,-3.81,-25.65,Top,0.0
C13,-3.81,-27.69,Top,0.0
C14, 4.32,-15.24,Top,180.0
C15,19.05,-9.91,Top,270.0
C16,-10.41,-19.81,Top,180.0
C17,-0.51, 1.52,Top,270.0
C18, 7.87,23.37,Top,180.0
C19, 2.54,23.37,Top,180.0
C20,-7.62,23.37,Top,180.0
C21,-2.29,23.37,Top,180.0
C22,-5.08, 2.54,Top,180.0
C23, 5.08, 2.54,Top,180.0
C24,-21.59,-38.86,Top,270.0
C25,-13.46,-17.02,Top,180.0
C26,-18.80,-17.02,Top,180.0
C27,-28.70,-17.02,Top,180.0
C28,-23.37,-17.02,Top,180.0
C29,-26.16,-37.85,Top,180.0
C30,-16.26,-37.85,Top,180.0
C31,-20.57, 1.52,Top,270.0
C32,-12.45,23.37,Top,180.0
C33,-17.78,23.37,Top,180.0
C34,-27.94,23.37,Top,180.0
C35,-22.61,23.37,Top,180.0
C36,-25.15, 2.54,Top,180.0
C37,-15.24, 2.54,Top,180.0
C40,21.84,51.31,Top,90.0
C41,-25.15,-43.69,Top,180.0
C42,-21.34,-43.69,Top,0.0
CR1,25.40,39.37,Top,0.0
CR2,29.97,39.37,Top,0.0
D3,25.40,20.83,Top,0.0
D4,15.24,20.83,Top,0.0
D8, 5.08,20.83,Top,0.0
D9,-5.08,20.83,Top,0.0
D10,-16.26,-19.56,Top,0.0
D11,-25.91,-19.56,Top,0.0
D12,-14.99,20.83,Top,0.0
D13,-25.40,20.83,Top,0.0
F1,20.32,18.54,Top,90.0
F2, 0.00,18.54,Top,90.0
F3,-20.32,18.54,Top,90.0
F4,-20.83,-21.84,Top,90.0
GDT1,25.40,33.27,Top,180.0
GDT2,15.24,33.27,Top,180.0
GDT3, 5.08,33.27,Top,180.0
GDT4,-5.08,33.27,Top,180.0
GDT5,-15.24,33.27,Top,180.0
GDT6,-25.40,33.27,Top,180.0
GDT7,-16.26,-7.11,Top,180.0
GDT8,-26.16,-7.11,Top,180.0
L1,27.94,27.18,Top,180.0
L2,22.86,27.18,Top,180.0
L3,17.78,27.18,Top,180.0
L4,12.70,27.18,Top,180.0
L5, 7.62,27.18,Top,180.0
L6, 2.54,27.18,Top,180.0
L7,-2.54,27.18,Top,180.0
L8,-7.62,27.18,Top,180.0
L9,-12.70,27.18,Top,180.0
L10,-17.78,27.18,Top,180.0
L11,-22.86,27.18,Top,180.0
L12,-27.94,27.18,Top,180.0
L13,-13.46,-13.21,Top,180.0
L14,-18.54,-13.21,Top,180.0
L15,-23.62,-13.21,Top,180.0
L16,-28.70,-13.21,Top,180.0
R1,25.91,-50.80,Top,0.0
R2,25.91,-43.18,Top,0.0
R3,-16.00,-45.72,Top,270.0
R4,25.91,-45.21,Top,0.0
R5,25.40,18.29,Top,0.0
R6,15.24,18.29,Top,0.0
R7,11.18,18.29,Top,0.0
R8,-10.41,-22.10,Top,180.0
R9,25.91,-33.02,Top,0.0
R10,25.91,-53.34,Top,0.0
R11,25.40, 0.51,Top,0.0
R12,28.45, 1.52,Top,90.0
R13,22.35, 1.52,Top,90.0
R14,15.24, 0.25,Top,0.0
R15,25.91,-35.56,Top,0.0
R16,25.91,-41.15,Top,0.0
R17,14.99,-33.02,Top,180.0
R18,-9.40, 0.51,Top,0.0
R19,-9.40, 2.54,Top,180.0
R20,14.99,-30.48,Top,180.0
R21,14.99,-20.32,Top,180.0
R22,14.99,-15.24,Top,180.0
R23,14.99,-7.62,Top,180.0
R24,14.99,-5.08,Top,180.0
R25,14.99,-12.70,Top,180.0
R26,14.99,-17.78,Top,180.0
R27,25.91,-39.12,Top,180.0
R28,14.99,-25.40,Top,0.0
R29,21.84,41.40,Top,270.0
R30,14.99,-22.86,Top,0.0
R31,25.91,-27.94,Top,180.0
R32, 5.08,18.29,Top,0.0
R33,-5.08,18.29,Top,0.0
R34,-9.14,18.29,Top,0.0
R35,25.91,-30.48,Top,0.0
R36, 5.08, 0.51,Top,0.0
R37, 8.13, 1.52,Top,90.0
R38, 2.03, 1.52,Top,90.0
R41,-5.08, 0.51,Top,0.0
R42,-16.26,-22.10,Top,0.0
R43,-26.16,-22.10,Top,0.0
R44,-29.97,-20.57,Top,270.0
R46,-16.26,-39.88,Top,0.0
R47,-13.21,-38.86,Top,90.0
R48,-19.30,-38.86,Top,90.0
R51,-26.16,-40.13,Top,0.0
R52,-15.24,18.29,Top,0.0
R53,-25.40,18.29,Top,0.0
R54,-29.46,19.81,Top,270.0
R56,-15.24, 0.51,Top,0.0
R57,-12.19, 1.52,Top,90.0
R58,-18.29, 1.52,Top,90.0
R61,-24.64, 0.25,Top,0.0
T1,25.40,10.41,Top,270.0
T2,15.24,10.41,Top,270.0
T3, 5.08,10.41,Top,270.0
T4,-5.08,10.41,Top,270.0
T5,-15.24,10.41,Top,270.0
T6,-25.40,10.41,Top,270.0
T7,-16.26,-29.97,Top,270.0
T8,-26.16,-29.97,Top,270.0
U1,-3.81,-6.60,Top,90.0
U2,-3.81,-20.57,Top,90.0
U3, 4.32,-6.60,Top,90.0
U5, 4.32,-20.32,Top,270.0
