time,amplitude
-0.013,0.2
-0.012995,0.2
-0.01299,0.12
-0.012985,0.12
-0.01298,0.12
-0.012975,0.12
-0.01297,0.12
-0.012965,0.12
-0.01296,0.12
-0.012955,0.12
-0.01295,0.2
-0.012945,0.12
-0.01294,0.2
-0.012935,0.12
-0.01293,0.2
-0.012925,0.12
-0.01292,0.2
-0.012915,0.12
-0.01291,0.2
-0.012905,0.12
-0.0129,0.2
-0.012895,0.12
-0.01289,0.2
-0.012885,0.12
-0.01288,0.2
-0.012875,0.12
-0.01287,0.12
-0.012865,0.12
-0.01286,0.2
-0.012855,0.12
-0.01285,0.2
-0.012845,0.12
-0.01284,0.12
-0.012835,0.12
-0.01283,0.2
-0.012825,0.12
-0.01282,0.2
-0.012815,0.12
-0.01281,0.2
-0.012805,0.12
-0.0128,0.2
-0.012795,0.12
-0.01279,0.2
-0.012785,0.12
-0.01278,0.12
-0.012775,0.2
-0.01277,0.2
-0.012765,0.2
-0.01276,0.12
-0.012755,0.2
-0.01275,0.2
-0.012745,0.2
-0.01274,0.2
-0.012735,0.12
-0.01273,0.12
-0.012725,0.2
-0.01272,0.12
-0.012715,0.12
-0.01271,0.12
-0.012705,0.12
-0.0127,0.2
-0.012695,0.12
-0.01269,0.12
-0.012685,0.2
-0.01268,0.12
-0.012675,0.12
-0.01267,0.12
-0.012665,0.2
-0.01266,0.2
-0.012655,0.2
-0.01265,0.12
-0.012645,0.2
-0.01264,0.12
-0.012635,0.12
-0.01263,0.12
-0.012625,0.2
-0.01262,0.12
-0.012615,0.2
-0.01261,0.12
-0.012605,0.12
-0.0126,0.12
-0.012595,0.12
-0.01259,0.12
-0.012585,0.12
-0.01258,0.12
-0.012575,0.2
-0.01257,0.12
-0.012565,0.12
-0.01256,0.12
-0.012555,0.12
-0.01255,0.12
-0.012545,0.2
-0.01254,0.12
-0.012535,0.2
-0.01253,0.2
-0.012525,0.2
-0.01252,0.12
-0.012515,0.12
-0.01251,0.12
-0.012505,0.2
-0.0125,0.12
-0.012495,0.2
-0.01249,0.12
-0.012485,0.12
-0.01248,0.12
-0.012475,0.12
-0.01247,0.2
-0.012465,0.12
-0.01246,0.12
-0.012455,0.12
-0.01245,0.12
-0.012445,0.2
-0.01244,0.12
-0.012435,0.12
-0.01243,0.12
-0.012425,0.12
-0.01242,0.12
-0.012415,0.12
-0.01241,0.12
-0.012405,0.2
-0.0124,0.12
-0.012395,0.12
-0.01239,0.12
-0.012385,0.12
-0.01238,0.2
-0.012375,0.12
-0.01237,0.2
-0.012365,0.12
-0.01236,0.2
-0.012355,0.12
-0.01235,0.12
-0.012345,0.12
-0.01234,0.2
-0.012335,0.12
-0.01233,0.2
-0.012325,0.12
-0.01232,0.2
-0.012315,0.12
-0.01231,0.2
-0.012305,0.12
-0.0123,0.2
-0.012295,0.12
-0.01229,0.2
-0.012285,0.12
-0.01228,0.12
-0.012275,0.12
-0.01227,0.2
-0.012265,0.12
-0.01226,0.12
-0.012255,0.12
-0.01225,0.12
-0.012245,0.12
-0.01224,0.2
-0.012235,0.12
-0.01223,0.2
-0.012225,0.12
-0.01222,0.2
-0.012215,0.12
-0.01221,0.2
-0.012205,0.12
-0.0122,0.2
-0.012195,0.12
-0.01219,0.2
-0.012185,0.12
-0.01218,0.2
-0.012175,0.12
-0.01217,0.2
-0.012165,0.12
-0.01216,0.12
-0.012155,0.12
-0.01215,0.2
-0.012145,0.2
-0.01214,0.2
-0.012135,0.12
-0.01213,0.2
-0.012125,0.12
-0.01212,0.2
-0.012115,0.12
-0.01211,0.2
-0.012105,0.12
-0.0121,0.2
-0.012095,0.12
-0.01209,0.2
-0.012085,0.12
-0.01208,0.2
-0.012075,0.12
-0.01207,0.2
-0.012065,0.12
-0.01206,0.2
-0.012055,0.12
-0.01205,0.2
-0.012045,0.12
-0.01204,0.2
-0.012035,0.12
-0.01203,0.2
-0.012025,0.12
-0.01202,0.2
-0.012015,0.12
-0.01201,0.12
-0.012005,0.2
-0.012,0.12
-0.011995,0.12
-0.01199,0.2
-0.011985,0.2
-0.01198,0.12
-0.011975,0.12
-0.01197,0.12
-0.011965,0.2
-0.01196,0.12
-0.011955,0.2
-0.01195,0.12
-0.011945,0.2
-0.01194,0.12
-0.011935,0.12
-0.01193,0.2
-0.011925,0.2
-0.01192,0.2
-0.011915,0.12
-0.01191,0.2
-0.011905,0.2
-0.0119,0.2
-0.011895,0.12
-0.01189,0.2
-0.011885,0.12
-0.01188,0.12
-0.011875,0.12
-0.01187,0.12
-0.011865,0.12
-0.01186,0.12
-0.011855,0.2
-0.01185,0.12
-0.011845,0.12
-0.01184,0.12
-0.011835,0.2
-0.01183,0.12
-0.011825,0.12
-0.01182,0.12
-0.011815,0.12
-0.01181,0.12
-0.011805,0.2
-0.0118,0.12
-0.011795,0.12
-0.01179,0.12
-0.011785,0.2
-0.01178,0.12
-0.011775,0.2
-0.01177,0.12
-0.011765,0.12
-0.01176,0.12
-0.011755,0.2
-0.01175,0.12
-0.011745,0.2
-0.01174,0.12
-0.011735,0.2
-0.01173,0.12
-0.011725,0.2
-0.01172,0.12
-0.011715,0.2
-0.01171,0.12
-0.011705,0.12
-0.0117,0.12
-0.011695,0.2
-0.01169,0.12
-0.011685,0.2
-0.01168,0.12
-0.011675,0.2
-0.01167,0.12
-0.011665,0.2
-0.01166,0.12
-0.011655,0.2
-0.01165,0.12
-0.011645,0.2
-0.01164,0.2
-0.011635,0.2
-0.01163,0.12
-0.011625,0.2
-0.01162,0.12
-0.011615,0.2
-0.01161,0.12
-0.011605,0.12
-0.0116,0.12
-0.011595,0.2
-0.01159,0.2
-0.011585,0.2
-0.01158,0.12
-0.011575,0.2
-0.01157,0.12
-0.011565,0.2
-0.01156,0.2
-0.011555,0.12
-0.01155,0.12
-0.011545,0.2
-0.01154,0.12
-0.011535,0.2
-0.01153,0.12
-0.011525,0.12
-0.01152,0.12
-0.011515,0.12
-0.01151,0.12
-0.011505,0.12
-0.0115,0.2
-0.011495,0.2
-0.01149,0.12
-0.011485,0.2
-0.01148,0.12
-0.011475,0.2
-0.01147,0.2
-0.011465,0.2
-0.01146,0.12
-0.011455,0.2
-0.01145,0.12
-0.011445,0.12
